Date : 2024-07-04 15:30:10
Directory : c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master
Total : 273 files,  49635 codes, 272 comments, 4170 blanks, all 54077 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\SpeedBadge.tsx                        | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\TournamentCard.tsx                    | TypeScript JSX     |        240 |          2 |         13 |        255 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\TournamentTable.tsx                   | TypeScript JSX     |        135 |          0 |          7 |        142 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\countries.json                        | JSON               |      3,986 |          0 |          1 |      3,987 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\databases\styles.css.ts                         | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\engines\AddEngine.tsx                           | TypeScript JSX     |        274 |          1 |         14 |        289 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\engines\EditEngine.tsx                          | TypeScript JSX     |         38 |          0 |          5 |         43 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\engines\EngineForm.tsx                          | TypeScript JSX     |         99 |          2 |          9 |        110 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\engines\EnginesPage.tsx                         | TypeScript JSX     |        621 |          3 |         26 |        650 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\files\DirectoryTable.css.ts                     | TypeScript         |         26 |          0 |          6 |         32 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\files\DirectoryTable.tsx                        | TypeScript JSX     |        323 |          2 |         19 |        344 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\files\FileCard.tsx                              | TypeScript JSX     |        111 |          0 |         12 |        123 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\files\FilesPage.tsx                             | TypeScript JSX     |        223 |          0 |         15 |        238 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\files\Modals.tsx                                | TypeScript JSX     |        206 |          0 |         21 |        227 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\files\file.ts                                   | TypeScript         |         71 |          0 |          9 |         80 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\files\opening.ts                                | TypeScript         |        105 |          0 |         14 |        119 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\home\AccountCard.tsx                            | TypeScript JSX     |        275 |          0 |         11 |        286 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\home\Accounts.tsx                               | TypeScript JSX     |        218 |          0 |         13 |        231 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\home\Databases.tsx                              | TypeScript JSX     |        223 |          0 |         23 |        246 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\home\HomePage.tsx                               | TypeScript JSX     |         25 |          0 |          3 |         28 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\home\LichessLogo.css.ts                         | TypeScript         |         16 |          0 |          2 |         18 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\home\LichessLogo.tsx                            | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\home\PersonalCard.css.ts                        | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\home\PersonalCard.tsx                           | TypeScript JSX     |        483 |          2 |         30 |        515 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\home\styles.css.ts                              | TypeScript         |         38 |          0 |          7 |         45 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\AnalysisPanel.css.ts            | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\AnalysisPanel.tsx               | TypeScript JSX     |        327 |          0 |         15 |        342 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\AnalysisRow.tsx                 | TypeScript JSX     |        208 |          0 |         11 |        219 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\BestMoves.css.ts                | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\BestMoves.tsx                   | TypeScript JSX     |        392 |          0 |         17 |        409 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\CoresSlider.tsx                 | TypeScript JSX     |         21 |          0 |          3 |         24 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\EngineSelection.tsx             | TypeScript JSX     |         87 |          0 |          7 |         94 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\EngineSettingsForm.tsx          | TypeScript JSX     |        220 |          0 |         17 |        237 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\HashSlider.tsx                  | TypeScript JSX     |         50 |          0 |          5 |         55 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\LinesSlider.tsx                 | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\LogsPanel.tsx                   | TypeScript JSX     |        151 |          0 |         12 |        163 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\ReportModal.tsx                 | TypeScript JSX     |        174 |          0 |         15 |        189 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\ReportPanel.tsx                 | TypeScript JSX     |        179 |          0 |         13 |        192 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\ScoreBubble.css.ts              | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\ScoreBubble.tsx                 | TypeScript JSX     |         87 |          0 |          3 |         90 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\TablebaseInfo.css.ts            | TypeScript         |         14 |          0 |          2 |         16 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\analysis\TablebaseInfo.tsx               | TypeScript JSX     |        144 |          0 |          9 |        153 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\annotation\AnnotationEditor.tsx          | TypeScript JSX     |         76 |          0 |          9 |         85 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\annotation\AnnotationPanel.tsx           | TypeScript JSX     |        121 |          0 |          9 |        130 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\database\DatabaseLoader.tsx              | TypeScript JSX     |         46 |          0 |          7 |         53 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\database\DatabasePanel.tsx               | TypeScript JSX     |        243 |          0 |         21 |        264 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\database\GamesTable.tsx                  | TypeScript JSX     |         87 |          0 |          4 |         91 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\database\NoDatabaseWarning.tsx           | TypeScript JSX     |         17 |          0 |          4 |         21 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\database\OpeningsTable.tsx               | TypeScript JSX     |        123 |          0 |          6 |        129 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\database\options\LichessOptionsPanel.tsx | TypeScript JSX     |        156 |          0 |         10 |        166 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\database\options\LocalOptionsPanel.tsx   | TypeScript JSX     |        179 |          0 |          9 |        188 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\database\options\MastersOptionsPanel.tsx | TypeScript JSX     |         35 |          0 |          3 |         38 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\info\FenInput.tsx                        | TypeScript JSX     |        137 |          0 |          8 |        145 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\info\FenSearch.tsx                       | TypeScript JSX     |        135 |          0 |         13 |        148 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\info\FileInfo.tsx                        | TypeScript JSX     |         49 |          0 |          5 |         54 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\info\GameSelector.css.ts                 | TypeScript         |         33 |          0 |          3 |         36 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\info\GameSelector.tsx                    | TypeScript JSX     |        164 |          0 |          9 |        173 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\info\InfoPanel.tsx                       | TypeScript JSX     |        150 |          0 |         17 |        167 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\info\PgnInput.tsx                        | TypeScript JSX     |        149 |          0 |         12 |        161 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\practice\PracticePanel.tsx               | TypeScript JSX     |        396 |          0 |         23 |        419 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\panels\practice\RepertoireInfo.tsx              | TypeScript JSX     |        171 |          0 |         13 |        184 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\puzzles\AddPuzzle.tsx                           | TypeScript JSX     |        143 |          0 |          8 |        151 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\puzzles\PuzzleBoard.tsx                         | TypeScript JSX     |        167 |          0 |         12 |        179 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\puzzles\Puzzles.tsx                             | TypeScript JSX     |        336 |          0 |         16 |        352 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\settings\BoardSelect.tsx                        | TypeScript JSX     |        108 |          0 |         10 |        118 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\settings\ColorControl.tsx                       | TypeScript JSX     |         41 |          0 |          4 |         45 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\settings\FontSizeSlider.tsx                     | TypeScript JSX     |         28 |          0 |          4 |         32 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\settings\KeybindInput.css.ts                    | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\settings\KeybindInput.tsx                       | TypeScript JSX     |        104 |          1 |          8 |        113 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\settings\PiecesSelect.tsx                       | TypeScript JSX     |        109 |          0 |         10 |        119 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\settings\SettingsNumberInput.tsx                | TypeScript JSX     |         24 |          0 |          2 |         26 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\settings\SettingsPage.css.ts                    | TypeScript         |         23 |          0 |          4 |         27 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\settings\SettingsPage.tsx                       | TypeScript JSX     |        649 |          1 |         15 |        665 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\settings\SettingsSwitch.tsx                     | TypeScript JSX     |         23 |          0 |          2 |         25 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\settings\SoundSelect.tsx                        | TypeScript JSX     |         82 |          0 |         10 |         92 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\settings\ThemeButton.tsx                        | TypeScript JSX     |         42 |          0 |          4 |         46 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\settings\VolumeSlider.tsx                       | TypeScript JSX     |         32 |          0 |          4 |         36 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\tabs\BoardTab.css.ts                            | TypeScript         |         49 |          0 |          5 |         54 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\tabs\BoardTab.tsx                               | TypeScript JSX     |        113 |          1 |          5 |        119 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\tabs\BoardsPage.css.ts                          | TypeScript         |         21 |          0 |          3 |         24 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\tabs\BoardsPage.tsx                             | TypeScript JSX     |        322 |          0 |         20 |        342 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\tabs\ConfirmChangesModal.tsx                    | TypeScript JSX     |         63 |          0 |          6 |         69 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\tabs\ContentEditable.tsx                        | TypeScript JSX     |        104 |          0 |          6 |        110 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\tabs\ImportModal.tsx                            | TypeScript JSX     |        302 |          0 |         19 |        321 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\tabs\NewTabHome.tsx                             | TypeScript JSX     |        104 |          0 |          9 |        113 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\index.tsx                                                  | TypeScript JSX     |         23 |          0 |          5 |         28 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\routeTree.gen.ts                                           | TypeScript         |         98 |         49 |         21 |        168 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\routes\__root.tsx                                          | TypeScript JSX     |        214 |          0 |         16 |        230 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\routes\accounts.tsx                                        | TypeScript JSX     |          5 |          0 |          2 |          7 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\routes\databases\$databaseId.tsx                           | TypeScript JSX     |          5 |          0 |          2 |          7 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\routes\databases\index.tsx                                 | TypeScript JSX     |         18 |          0 |          2 |         20 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\routes\engines.tsx                                         | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\routes\files.tsx                                           | TypeScript JSX     |          6 |          0 |          2 |          8 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\routes\index.tsx                                           | TypeScript JSX     |          6 |          0 |          2 |          8 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\routes\settings.tsx                                        | TypeScript JSX     |         10 |          0 |          2 |         12 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\state\atoms.ts                                             | TypeScript         |        451 |         11 |         65 |        527 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\state\keybinds.ts                                          | TypeScript         |         76 |          0 |          4 |         80 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\state\store.ts                                             | TypeScript         |        649 |         27 |         69 |        745 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\state\utils.ts                                             | TypeScript         |         87 |          0 |          5 |         92 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\styles\Chessboard.css.ts                                   | TypeScript         |         22 |          0 |          3 |         25 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\styles\chessgroundBaseOverride.css                         | CSS                |        145 |          2 |         26 |        173 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\styles\chessgroundColorsOverride.css                       | CSS                |         38 |          2 |          4 |         44 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\styles\global.css.ts                                       | TypeScript         |         43 |          0 |          6 |         49 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\styles\react-mosaic.css                                    | CSS                |         13 |          0 |          3 |         16 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\styles\theme.ts                                            | TypeScript         |          7 |          3 |          3 |         13 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\translation\en_US.ts                                       | TypeScript         |        345 |          0 |         16 |        361 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\translation\pt_PT.ts                                       | TypeScript         |        344 |          0 |         16 |        360 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\translation\zh_CN.ts                                       | TypeScript         |        333 |          0 |         16 |        349 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\annotation.ts                                        | TypeScript         |        149 |          0 |          9 |        158 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\chess.com\api.tsx                                    | TypeScript JSX     |        232 |          0 |         20 |        252 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\chess.com\tcn.ts                                     | TypeScript         |         29 |          0 |         10 |         39 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\chess.ts                                             | TypeScript         |        644 |          3 |         56 |        703 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\chessdb\api.ts                                       | TypeScript         |        138 |          0 |         20 |        158 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\chessops.ts                                          | TypeScript         |        155 |          0 |         17 |        172 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\db.ts                                                | TypeScript         |        300 |          0 |         30 |        330 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\engines.ts                                           | TypeScript         |        107 |          1 |         15 |        123 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\files.ts                                             | TypeScript         |         84 |          0 |          5 |         89 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\format.ts                                            | TypeScript         |         48 |          0 |          8 |         56 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\invoke.tsx                                           | TypeScript JSX     |         41 |          0 |          4 |         45 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\lichess\api.tsx                                      | TypeScript JSX     |        396 |          1 |         30 |        427 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\lichess\explorer.ts                                  | TypeScript         |        128 |          2 |         13 |        143 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\misc.ts                                              | TypeScript         |         82 |          1 |         13 |         96 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\puzzles.ts                                           | TypeScript         |         33 |          0 |          6 |         39 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\repertoire.ts                                        | TypeScript         |        102 |          1 |         10 |        113 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\score.ts                                             | TypeScript         |        126 |          0 |         13 |        139 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\session.ts                                           | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\sound.ts                                             | TypeScript         |         23 |          1 |          6 |         30 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\tabs.ts                                              | TypeScript         |        134 |          0 |          8 |        142 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\tests\chess.test.ts                                  | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\tests\chessops.test.ts                               | TypeScript         |         49 |          0 |          6 |         55 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\tests\misc.test.ts                                   | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\tests\score.test.ts                                  | TypeScript         |         71 |          0 |         11 |         82 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\tests\store.test.ts                                  | TypeScript         |        458 |          0 |         48 |        506 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\utils\treeReducer.ts                                       | TypeScript         |        162 |          3 |         14 |        179 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\vite-env.d.ts                                              | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\tsconfig.json                                                  | JSON with Comments |         24 |          0 |          1 |         25 |
| c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\vite.config.ts                                                 | TypeScript         |         29 |          2 |          3 |         34 |
| Total                                                                                                                                        |                    |     49,635 |        272 |      4,170 |     54,077 |
+----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
